pvc_ID,pvc_EventType,TenantId,idleTimeSpent,CustomDataBlock.ContactId,formData.ddOPPMEL0,formData.currentState,formData.txtPrimaryEmail,formData.ddDeductible,formData.txtPolicyEffectiveDate,QuoteStatus,CustomDataBlock.Params,formData.protectionClass,formData.chkTerrorismCoverageApplies,formData.btnCancel,formData.btnSave,formData.txtCompanyName,formData.btnSubmit,formData.ddlUTMID,formData.zipCode,formData.TextBox2,formData.txtOfficePhone,PolicyBaseState,formData.btnConditions,formData.DropDownList1,formData.btnShowPopup,ErrorType,formData.ddlAppliedCredits,formData.txtZipCode,formData.ddlPropertyType,CustomDataBlock.YearOfBirth,formData.Logout,formData.ddlClassGroup,formData.previousbtn,formData.btnSubmission,ClaimNumber,CustomDataBlock.PhoneNumber,formData.ddlConstructionType,PolicyNumber,ClientIP,SaveDateTime,formData.txtClassificationCode,formData.ctl05,QuoteResponseTime,formData.btnCreateQuote,formData.city,formData.txtRelationshiptoPrimaryInsured,Event.Key,formData.TextBox1,CustomDataBlock.Email,formData.txtYearOfConstruction,formData.ddlCommunityClassification,formData.txtClassificationDescription,formData.ddlLLPO0,SessionId,formData.txtPolicyExpirationDate,formData.ddPOAL,formData.ddDeductibleType,Event.Action,CustomDataBlock.City,formData.ddOPND,formData.txtYBS,formData.clientAccounts,formData.trueAndCorrect,formData.txtEffectiveDate,AccountNumber,formData.ddlSegments,formData.txtOfficeFax,formData.ddlOrganizationType,CustomDataBlock.LastName,formData.ddlDropdown1,formData.txtPolicyProcedure,formData.chkAutomaticSprinklerSystem,ResourcePath,formData.txtAddressLine2,formData.lowPressure,formData.TxtLegalEntity,OriginatorName,eventType,EventName,UserId,ResourceReferrer,formData.ddEEJ,formData.streetLine1,formData.BtnBound,PremiumAmount,formData.addLocation,formData.txtBuildingNumber,formData.ddlType,PageName,formData.txtNaicstCode,formData.ddlRoofType,CustomDataBlock.DeviceInfo,CustomDataBlock.FirstName,UserAgent,formData.ddlAutomaticIncreasePercent,formData.txtNumberOfStories,formData.txtAddress1,formData.btnRemoveCoverage,formData.ddlClassification,formData.ddlLiabilityExposureBase,numberOfBuildings,formData.txtLimit,CustomDataBlock.UserRole,formData.LoanNumber,ErrorMessage,formData.ddlBusinessType,formData.txtAddressLine1,CustomDataBlock.TrackingId,CustomDataBlock.PostalCode,formData.nextbtn,formData.ddlState,formData.txtBusinessStarted,formData.ctl04,formData.btnAdditionalInsuredCoverages,formData.mortgagees,Identifiers,formData.productLine,Event.Message,formData.txtCity,formData.ddlBuildingLocation,QuoteNumber,formData.txtName,formData.territoryCode,formData.txtClaims,formData.txtOccupancySquareFootage,LineOfBusiness,ResourceName,formData.btnAdditionalCoverage,formData.ddEPIND,formData.streetLine2,formData.txtFEIN,formData.btnAll,formData.TextBox3,formData.txtAttn,formData.answers,formData.threeOrMoreLosses,formData.txtCompanyAddress,CustomDataBlock.BrowserInfo,CustomDataBlock.StreetAddress,formData.losses,formData.txtPolicyCode,formData.btnError,Event.Context,formData.ddlValuation,formData.ddlAgencyName,formData.txtBuildingDescription,CustomDataBlock.RequestCookies,formData.addBuilding,formData.fraudType,formData.txtAddress2,numberOfLocation,formData.numEmployees,formData.ddGAL,formData.policyEffectiveDate,formData.stateDropdown,formData.btnExclusions,formData.txtCountry,Approxpremiumamount,SiteName,Event.StatusCode,APIError,activesession,SourceSystem,UWName
100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22:15.0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,UWdba8ab-8ae1-4cde-b23e-33d019885772,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Login,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QQ7874110000,NULL,NULL,NULL,NULL,Businessowners,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,LogIn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PL Prospects,NULL,NULL,NULL,Policy Center,Selena
101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23:40.0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,UWdba8ab-8ae1-4cde-b23e-33d019885772,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,UW Review,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QQ7874110000,NULL,NULL,NULL,NULL,Businessowners,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PageLoad,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PL Prospects,NULL,NULL,NULL,Policy Center,Selena
102,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23:40.5,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,UWdba8ab-8ae1-4cde-b23e-33d019885772,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,UW Review,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QQ7874110000,NULL,NULL,NULL,NULL,Businessowners,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TakeControl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PL Prospects,NULL,NULL,NULL,Policy Center,Selena
103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33:43.0,NULL,NULL,NULL,NULL,NULL,NULL,btnDecline,NULL,NULL,NULL,NULL,NULL,NULL,UWdba8ab-8ae1-4cde-b23e-33d019885772,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,UW Review,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QQ7874110000,NULL,NULL,NULL,NULL,Businessowners,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QuoteDeclined,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PL Prospects,NULL,NULL,NULL,Policy Center,Selena
104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Declined,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34:44.4,NULL,NULL,NULL,NULL,NULL,NULL,btnSave,NULL,NULL,NULL,NULL,NULL,NULL,UWdba8ab-8ae1-4cde-b23e-33d019885772,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,UW Review,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QQ7874110000,NULL,NULL,NULL,NULL,Businessowners,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Save,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PL Prospects,NULL,NULL,NULL,Policy Center,Selena
105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,05:55.0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,UW1c9119-f13a-42e8-9727-0560c7c0744a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Login,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QQ2394010000,NULL,NULL,NULL,NULL,Businessowners,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,LogIn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PL CSS,NULL,NULL,NULL,Policy Center,Jose
106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,06:36.0,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,UW1c9119-f13a-42e8-9727-0560c7c0744a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,UW Review,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QQ2394010000,NULL,NULL,NULL,NULL,Businessowners,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PageLoad,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PL CSS,NULL,NULL,NULL,Policy Center,Jose
107,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,06:36.4,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,UW1c9119-f13a-42e8-9727-0560c7c0744a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,UW Review,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QQ2394010000,NULL,NULL,NULL,NULL,Businessowners,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,TakeControl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PL CSS,NULL,NULL,NULL,Policy Center,Jose
108,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15:23.0,NULL,NULL,NULL,NULL,NULL,NULL,btnLifted,NULL,NULL,NULL,NULL,NULL,NULL,UW1c9119-f13a-42e8-9727-0560c7c0744a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,UW Review,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QQ2394010000,NULL,NULL,NULL,NULL,Businessowners,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,UWRule Lifted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PL CSS,NULL,NULL,NULL,Policy Center,Jose
109,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Quoted,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15:44.4,NULL,NULL,NULL,NULL,NULL,NULL,SaveButton,NULL,NULL,NULL,NULL,NULL,NULL,UW1c9119-f13a-42e8-9727-0560c7c0744a,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,UW Review,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,QQ2394010000,NULL,NULL,NULL,NULL,Businessowners,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,btnCreateQuote,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,PL CSS,NULL,NULL,NULL,Policy Center,Jose
