PageViewContexID,SessionID,SessionIP,PageName,Refferer,userId,Date,Time,siteName,userAgent,logInfo,eventType,GeoIP,PageEvent,InteractionID,browser,BrowserCanJavaScript,DeviceUserAgent,DeviceSaveDateTime,BrowserHtml5VideoCanVideo,BrowserHtml5AudioCanAudio,CanTouchScreen,DeviceType,DeviceOperatingSystemModel,DeviceOperatingSystemVendor,DeviceVendor,HardwareDisplayWidth,HardwareDisplayHeight,DeviceIsSmartphone,IsBot,CustomerId,LOB,AccountNumber,QuotationNumber,TimeSpent
38554,0005ce22-755b-4d5a-b3a5-11f4c2b9afa8,49.37.161.129,QuotationPage,https://donegal-demo.azurewebsites.net/ClientSummary?accNumber=Jane%20Smith&quotationNumber=QQ1208010000,Faith,6/30/2024, 11:31:17:447000,Kraken,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0",PageView,PageLoad,None,None,0,Edge(Chromium),TRUE,Edge(Chromium),None,TRUE,TRUE,FALSE,None,None,None,None,1536,864,FALSE,FALSE,'',LOB not selected,Jane Smith,QQ1208010000,None
40339,03c31579-3222-4c6b-8be3-05058d816590,106.51.190.251,QuotationPage,https://donegal-demo.azurewebsites.net/ClientSummary?accNumber=John%20Doe&quotationNumber=QQ6507710000,Ella,7/2/2024, 7:53:9:577000,Kraken,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0",PageView,PageLoad,None,None,0,Edge(Chromium),TRUE,Edge(Chromium),None,TRUE,TRUE,FALSE,None,None,None,None,1536,864,FALSE,FALSE,'',LOB not selected,John Doe,QQ6507710000,None
38820,065a4ab1-56fc-4660-abe9-b1cf2b1f639d,157.45.159.153,QuotationPage,https://donegal-demo.azurewebsites.net/ClientSummary?accNumber=Jane%20Smith&quotationNumber=QQ8656310000,Teresa,6/30/2024, 12:12:9:253000,Kraken,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",PageView,PageLoad,None,None,0,Chrome,TRUE,Chrome,None,TRUE,TRUE,FALSE,None,None,None,None,1536,864,FALSE,FALSE,'',LOB not selected,Jane Smith,QQ8656310000,None
39522,089d4907-fadb-4141-9f0a-3a394d9779d0,157.45.145.78,QuotationPage,https://donegal-demo.azurewebsites.net/ClientSummary?accNumber=Emily%20Brown&quotationNumber=QQ4771910000,Quelt,6/30/2024, 15:28:38:577000,Kraken,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",PageView,PageLoad,None,None,0,Chrome,TRUE,Chrome,None,TRUE,TRUE,FALSE,None,None,None,None,1536,864,FALSE,FALSE,'',LOB not selected,Emily Brown,QQ4771910000,None
39526,089d4907-fadb-4141-9f0a-3a394d9779d0,157.45.145.78,Umbrella Policy Details,https://donegal-demo.azurewebsites.net/ClientSummary?accNumber=Emily%20Brown&quotationNumber=QQ4771910000&lob=Commercial%20Umbrella,Quelt,6/30/2024, 15:29:0:937000,Kraken,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",PageView,PageLoad,None,None,0,Chrome,TRUE,Chrome,None,TRUE,TRUE,FALSE,None,None,None,None,1536,864,FALSE,FALSE,'',Commercial Umbrella,Emily Brown,QQ4771910000,None
39529,089d4907-fadb-4141-9f0a-3a394d9779d0,157.45.145.78,Umbrella Line Coverages,https://donegal-demo.azurewebsites.net/ClientSummary?accNumber=Emily%20Brown&quotationNumber=QQ4771910000&lob=Commercial%20Umbrella,Quelt,6/30/2024, 15:30:2:453000,Kraken,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",TabClick,PageLoad,None,None,0,Chrome,TRUE,Chrome,None,TRUE,TRUE,FALSE,None,None,None,None,1536,864,FALSE,FALSE,'',Commercial Umbrella,Emily Brown,QQ4771910000,None
39530,089d4907-fadb-4141-9f0a-3a394d9779d0,157.45.145.78,Umbrella Underlying Coverages,https://donegal-demo.azurewebsites.net/ClientSummary?accNumber=Emily%20Brown&quotationNumber=QQ4771910000&lob=Commercial%20Umbrella,Quelt,6/30/2024, 15:30:5:923000,Kraken,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",TabClick,PageLoad,None,None,0,Chrome,TRUE,Chrome,None,TRUE,TRUE,FALSE,None,None,None,None,1536,864,FALSE,FALSE,'',Commercial Umbrella,Emily Brown,QQ4771910000,None
39532,089d4907-fadb-4141-9f0a-3a394d9779d0,157.45.145.78,Umbrella Review,https://donegal-demo.azurewebsites.net/ClientSummary?accNumber=Emily%20Brown&quotationNumber=QQ4771910000&lob=Commercial%20Umbrella,Quelt,6/30/2024, 15:30:10:23000,Kraken,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",TabClick,PageLoad,None,None,0,Chrome,TRUE,Chrome,None,TRUE,TRUE,FALSE,None,None,None,None,1536,864,FALSE,FALSE,'',Commercial Umbrella,Emily Brown,QQ4771910000,None
40534,0937f8d4-3f47-4edc-be87-6fdd80a14eef,124.40.245.188,QuotationPage,https://donegal-demo.azurewebsites.net/ClientSummary?accNumber=Sophia%20Taylor&quotationNumber=QQ5844910000,Garcia,7/2/2024, 8:56:33:437000,Kraken,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",PageView,PageLoad,None,None,0,Chrome,TRUE,Chrome,None,TRUE,TRUE,FALSE,None,None,None,None,1536,864,FALSE,FALSE,'',LOB not selected,Sophia Taylor,QQ5844910000,None
38511,0e065782-4ec4-480d-87e0-4be04b8f9434,49.37.161.129,QuotationPage,https://donegal-demo.azurewebsites.net/ClientSummary?accNumber=Sophia%20Taylor&quotationNumber=QQ3987110000,David,6/30/2024, 11:28:10:400000,Kraken,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36 Edg/126.0.0.0",PageView,PageLoad,None,None,0,Edge(Chromium),TRUE,Edge(Chromium),None,TRUE,TRUE,FALSE,None,None,None,None,1536,864,FALSE,FALSE,'',LOB not selected,Sophia Taylor,QQ3987110000,None
